"","Site","TransectDepth","Replicate","SiteID","Richness","Abundance","Biomass","Hi_Lo","HabVar","CreVar","AlgVar","SiteSpeedMean"
"1","Anniversary",3,1,"Anniversary_3_1",4,34,976.12,"Lo",5,10,100,4.06580758807588
"2","Anniversary",3,2,"Anniversary_3_2",3,46,348.78,"Lo",1,20,30,4.06580758807588
"3","Anniversary",3,3,"Anniversary_3_3",1,8,19.07,"Lo",1,0,50,4.06580758807588
"4","Anniversary",15,1,"Anniversary_15_1",5,16,1068.39,"Lo",3,0,90,4.06580758807588
"5","Anniversary",15,2,"Anniversary_15_2",1,3,13.23,"Lo",2,0,70,4.06580758807588
"6","Anniversary",15,3,"Anniversary_15_3",3,47,9442.15,"Lo",3,0,20,4.06580758807588
"7","Anniversary",15,4,"Anniversary_15_4",2,14,44.36,"Lo",2,0,90,4.06580758807588
"8","Burial",3,1,"Burial_3_1",3,9,5985.91,"Hi",2,0,80,29.8682926829268
"9","Burial",3,2,"Burial_3_2",1,1,146.19,"Hi",2,0,100,29.8682926829268
"10","Burial",3,3,"Burial_3_3",3,6,16.09,"Hi",4,30,40,29.8682926829268
"11","Burial",3,4,"Burial_3_4",1,10,7.96,"Hi",2,10,70,29.8682926829268
"12","Burial",15,1,"Burial_15_1",3,12,45.56,"Hi",4,0,40,29.8682926829268
"13","Burial",15,2,"Burial_15_2",4,30,39.61,"Hi",3,0,0,29.8682926829268
"14","Burial",15,3,"Burial_15_3",1,24,11.86,"Hi",5,60,0,29.8682926829268
"15","Burial",15,4,"Burial_15_4",4,20,196.44,"Hi",1,30,20,29.8682926829268
"16","Coffin",3,1,"Coffin_3_1",6,26,82.23,"Lo",4,11.1111111111111,100,4.09388245257453
"17","Coffin",3,2,"Coffin_3_2",4,10,17.39,"Lo",3,0,100,4.09388245257453
"18","Coffin",3,3,"Coffin_3_3",3,7,6.97,"Lo",3,0,100,4.09388245257453
"19","Coffin",15,1,"Coffin_15_1",5,16,191.04,"Lo",3,0,50,4.09388245257453
"20","Coffin",15,2,"Coffin_15_2",4,15,393.29,"Lo",3,30,90,4.09388245257453
"21","Coffin",15,3,"Coffin_15_3",5,32,88.43,"Lo",3,10,60,4.09388245257453
"22","Dragon",3,1,"Dragon_3_1",5,22,389,"Lo",2,60,100,4.22631961382114
"23","Dragon",3,2,"Dragon_3_2",4,19,242.44,"Lo",4,10,20,4.22631961382114
"24","Dragon",3,3,"Dragon_3_3",5,11,63.86,"Lo",2,10,0,4.22631961382114
"25","Dragon",3,4,"Dragon_3_4",4,14,1149.48,"Lo",3,80,50,4.22631961382114
"26","Dragon",15,1,"Dragon_15_1",5,27,5031.31,"Lo",4,10,50,4.22631961382114
"27","Dragon",15,2,"Dragon_15_2",5,13,1907.78,"Lo",1,0,0,4.22631961382114
"28","Dragon",15,3,"Dragon_15_3",3,35,4739.57,"Lo",4,10,20,4.22631961382114
"29","Dragon",15,4,"Dragon_15_4",6,22,1912.1,"Lo",3,0,0,4.22631961382114
"30","Georgina",3,1,"Georgina_3_1",3,7,9516.84,"Hi",2,0,100,10.4706615853659
"31","Georgina",3,2,"Georgina_3_2",4,4,4641.6,"Hi",2,0,100,10.4706615853659
"32","Georgina",3,3,"Georgina_3_3",2,2,105.24,"Hi",3,20,70,10.4706615853659
"33","Georgina",15,1,"Georgina_15_1",7,46,4282.71,"Hi",5,10,70,10.4706615853659
"34","Georgina",15,2,"Georgina_15_2",5,37,1010.88,"Hi",2,12.5,80,10.4706615853659
"35","Georgina",15,3,"Georgina_15_3",7,58,343.9,"Hi",4,10,10,10.4706615853659
"36","Grainger",3,1,"Grainger_3_1",1,3,0.78,"Hi",2,0,90,19.5821873306233
"37","Grainger",3,2,"Grainger_3_2",2,2,81.61,"Hi",2,0,100,19.5821873306233
