"logger","Date","SpeedMin","SpeedMean","SpeedMax","SpeedSD","Hi_Lo"
"Anniversary",2019-12-16,0.9,3.37078472222222,24.99,2.66465940378801,"Low"
"Anniversary",2019-12-17,1.02,3.59284722222222,23.45,2.52643022971567,"Low"
"Anniversary",2019-12-18,1.02,4.0400625,20.47,3.14806503707841,"Low"
"Anniversary",2019-12-19,1.13,4.19985416666667,21.32,3.06567064960993,"Low"
"Anniversary",2019-12-20,1.24,4.76245833333333,26.67,3.09823075983846,"Low"
"Anniversary",2019-12-21,0.9,4.11582638888889,18.21,2.79155462384801,"Low"
"Anniversary",2019-12-22,1.13,3.72651388888889,18.28,2.55622526982772,"Low"
"Anniversary",2019-12-23,0.79,4.33179166666667,50.82,3.95405622765965,"Low"
"Anniversary",2019-12-24,0.68,3.66979166666667,24.67,2.7838798021742,"Low"
"Anniversary",2019-12-25,0.68,4.38385416666667,51.78,5.1869008790644,"Low"
"Anniversary",2019-12-26,1.02,3.70572222222222,17.95,2.5694250321333,"Low"
"Anniversary",2019-12-27,1.13,3.07499305555556,12.88,2.00694745371002,"Low"
"Anniversary",2019-12-28,1.02,3.78268055555556,25.83,2.86899868887362,"Low"
"Anniversary",2019-12-29,1.02,3.45035416666667,23.58,2.42509091830381,"Low"
"Anniversary",2019-12-30,0.9,3.07584027777778,12.41,1.88198178618892,"Low"
"Anniversary",2019-12-31,0.9,4.79081944444444,54.27,5.67041015959859,"Low"
"Anniversary",2020-01-01,1.36,2.62630555555556,8.86,1.11993067440176,"Low"
"Anniversary",2020-01-02,0.9,3.70271527777778,11.61,2.08864900812154,"Low"
"Anniversary",2020-01-03,1.24,4.61080555555556,28.69,3.5482818582556,"Low"
"Anniversary",2020-01-04,1.13,3.64369444444444,20.73,2.60983273895741,"Low"
"Anniversary",2020-01-05,1.13,4.38440972222222,20.86,2.91222556599415,"Low"
"Anniversary",2020-01-06,1.13,3.33609722222222,16.49,2.24649053249072,"Low"
"Anniversary",2020-01-07,1.13,3.2710625,16.13,2.27526391941041,"Low"
"Anniversary",2020-01-08,0.9,3.521875,22.29,2.77991027516052,"Low"
"Anniversary",2020-01-09,1.13,4.15597916666667,29.63,3.13866149542881,"Low"
"Anniversary",2020-01-10,1.02,3.91797222222222,15.64,2.70967095116328,"Low"
"Anniversary",2020-01-11,1.24,4.05190277777778,18.94,2.43021088352878,"Low"
"Anniversary",2020-01-12,1.24,4.88572916666667,26.73,3.52992569659351,"Low"
"Anniversary",2020-01-13,1.13,4.46629861111111,27.38,3.30392513754807,"Low"
"Anniversary",2020-01-14,1.36,5.09513194444444,40.75,3.84098435152943,"Low"
"Anniversary",2020-01-15,1.24,5.06366666666667,26.28,3.08276545252835,"Low"
"Anniversary",2020-01-16,1.24,4.51623611111111,16.98,2.83276670399294,"Low"
"Anniversary",2020-01-17,1.02,4.86900694444444,22.35,3.27200978077865,"Low"
"Anniversary",2020-01-18,1.02,6.08099305555556,26.73,4.5637050222578,"Low"
"Anniversary",2020-01-19,1.36,3.89313888888889,12.96,2.50383175598539,"Low"
"Anniversary",2020-01-20,1.24,3.89831944444444,17.6,2.88125546108033,"Low"
"Anniversary",2020-01-21,1.13,3.2094375,14.92,2.05469526955028,"Low"
"Anniversary",2020-01-22,1.24,3.99024305555556,17.18,2.91861322164265,"Low"
"Anniversary",2020-01-23,1.24,5.11321527777778,42.85,5.43323937184447,"Low"
"Anniversary",2020-01-24,0.9,4.03238194444444,37.53,3.42967973409741,"Low"
"Anniversary",2020-01-25,1.02,4.28729861111111,18.94,2.95276993802054,"Low"
"Burial",2019-12-16,0.68,31.6612986111111,111.1,28.1400078342467,"High"
"Burial",2019-12-17,1.02,28.4565555555556,106.67,26.3631747990798,"High"
"Burial",2019-12-18,0.9,25.9874722222222,105.45,23.7534935947566,"High"
"Burial",2019-12-19,0.9,25.7989097222222,109.48,24.4764272492596,"High"
"Burial",2019-12-20,1.24,26.845,108.6,25.5680077551975,"High"
"Burial",2019-12-21,1.02,28.6871875,112.9,26.8794623453658,"High"
"Burial",2019-12-22,0.9,30.2489236111111,110.1,27.7648727835927,"High"
"Burial",2019-12-23,1.13,31.9698055555556,113.3,28.6963315671253,"High"
"Burial",2019-12-24,1.02,35.0434930555556,110.8,29.9644323872559,"High"
"Burial",2019-12-25,1.02,35.4110694444444,111.3,29.5531526376144,"High"
"Burial",2019-12-26,0.9,34.1682708333333,110.7,28.4296631660943,"High"
"Burial",2019-12-27,1.02,32.6817638888889,106.15,27.0954047210541,"High"
"Burial",2019-12-28,1.02,33.8171388888889,110,27.1104636478681,"High"
"Burial",2019-12-29,1.13,33.7073819444444,111.6,28.3626870010466,"High"
"Burial",2019-12-30,1.02,29.0074861111111,108.08,25.0374483568551,"High"
"Burial",2019-12-31,0.9,24.1029513888889,107.55,20.8680518567274,"High"
"Burial",2020-01-01,0.79,21.5106944444444,99.8,19.8893995587048,"High"
"Burial",2020-01-02,0.9,22.1382083333333,108.42,25.0647574245506,"High"
"Burial",2020-01-03,0.9,21.929375,111.4,26.3762600875098,"High"
"Burial",2020-01-04,1.02,21.7966597222222,104.22,21.5282338854683,"High"
"Burial",2020-01-05,0.9,22.3727847222222,110,23.4464626499283,"High"
"Burial",2020-01-06,1.02,25.9462083333333,109.13,25.6917011596424,"High"
"Burial",2020-01-07,0.79,27.5483125,111.4,26.6211610797455,"High"
"Burial",2020-01-08,1.02,32.677125,110.6,28.8047751655896,"High"
"Burial",2020-01-09,1.13,33.3209652777778,111.8,28.2111033858089,"High"
"Burial",2020-01-10,1.13,36.2670069444444,111.2,31.2216505149161,"High"
"Burial",2020-01-11,1.02,33.2880763888889,107.38,28.334487856057,"High"
"Burial",2020-01-12,0.9,36.4979166666667,111.8,30.8171806020136,"High"
"Burial",2020-01-13,1.02,39.77375,116.4,32.2566726180455,"High"
"Burial",2020-01-14,1.24,33.2754166666667,109.13,26.1844074061105,"High"
"Burial",2020-01-15,0.9,30.0618125,103.35,25.0552348206431,"High"
"Burial",2020-01-16,0.79,27.3600833333333,103.18,24.106026962583,"High"
"Burial",2020-01-17,1.02,24.7302916666667,101.8,21.3495406137462,"High"
"Burial",2020-01-18,1.02,27.4619861111111,108.95,27.6523485955354,"High"
"Burial",2020-01-19,0.9,29.0034375,102.6,23.0028021117562,"High"
"Burial",2020-01-20,1.02,29.1018819444444,110.5,25.6183366210606,"High"
"Burial",2020-01-21,1.02,30.9475625,107.2,26.6400561072693,"High"
"Burial",2020-01-22,0.79,29.9878263888889,105.1,26.0337595987221,"High"
"Burial",2020-01-23,1.13,33.1034791666667,111.4,28.8044626236834,"High"
"Burial",2020-01-24,1.13,33.6775069444444,111.2,29.3825012589003,"High"
"Burial",2020-01-25,1.02,33.2269236111111,111,28.6661186894369,"High"
"Coffin",2019-12-16,1.13,2.89503472222222,9.04,1.6342873687932,"Low"
"Coffin",2019-12-17,1.24,4.29893055555556,13.11,2.80295277060264,"Low"
"Coffin",2019-12-18,1.02,4.83445138888889,16.06,3.13888030019997,"Low"
"Coffin",2019-12-19,1.13,4.52644444444444,15.28,2.95603101901446,"Low"
"Coffin",2019-12-20,1.24,4.01398611111111,15.92,2.59813614164247,"Low"
"Coffin",2019-12-21,1.24,3.71902083333333,13.42,2.82624190532558,"Low"
"Coffin",2019-12-22,1.13,4.14992361111111,12.18,2.76938598669308,"Low"
"Coffin",2019-12-23,1.24,4.23481944444444,14.32,2.64085156326341,"Low"
"Coffin",2019-12-24,1.24,4.35286805555556,13.73,3.10269848868626,"Low"
"Coffin",2019-12-25,1.13,4.58964583333333,17.32,3.07447451618042,"Low"
"Coffin",2019-12-26,1.13,4.77649305555556,13.11,2.58180641895192,"Low"
"Coffin",2019-12-27,1.24,3.24704166666667,11.36,1.94618848420517,"Low"
"Coffin",2019-12-28,1.24,6.52034027777778,16.91,3.85009277915553,"Low"
"Coffin",2019-12-29,1.13,5.59244444444444,30.52,4.08941393365204,"Low"
"Coffin",2019-12-30,1.24,3.98738888888889,12.18,2.51154266293785,"Low"
"Coffin",2019-12-31,1.24,4.10636111111111,11.94,2.55417731835678,"Low"
"Coffin",2020-01-01,1.24,3.44625,12.57,2.10589479248084,"Low"
"Coffin",2020-01-02,1.13,3.85922222222222,13.8,2.54359629087602,"Low"
"Coffin",2020-01-03,1.13,3.00129861111111,11.11,1.79406845861257,"Low"
"Coffin",2020-01-04,1.24,4.78927083333333,18.35,3.90118918937496,"Low"
"Coffin",2020-01-05,1.24,5.2794375,14.4,3.49030081122911,"Low"
"Coffin",2020-01-06,1.24,3.53888194444444,10.1,2.06139155990792,"Low"
"Coffin",2020-01-07,1.24,3.676125,12.57,2.50137812988058,"Low"
