Date,Site,Hi_Lo,Replicate,TransectDepth,Pelagic_Benthic,Length,CommonName,Sex,Family,Genus,Species,Latin,a,b,abSource
17-Oct-19,Snake,Lo,1,15,Pass One,38,Kelp Greenling,F,Hexagrammidae,Hexagrammos,decagrammus,Hexagrammos decagrammus,0.0009213,2.675,California Fish and Game Fish Bulletin 177
17-Oct-19,Snake,Lo,1,15,Pass One,14,Quillback Rockfish,,Sebastidae,Sebastes,maliger,Sebastes maliger,0.0000295,2.92,"NOAA 1978 Washington, Gowan, & Ito"
17-Oct-19,Snake,Lo,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,10,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,10,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,10,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,7,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,10,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,15,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
17-Oct-19,Snake,Lo,1,3,Pass Two,6,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,3,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,4,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,10,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,4,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,11,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,11,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,11,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,4,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,3,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,5,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,10,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,7,Longfin Sculpin,,Cottidae,Jordania,zonope,Jordania zonope,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,5,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,2,Speckled Sanddab,,Paralichthyidae ,Citharichthys,stigmaeus,Citharichthys stigmaeus,0.00724,3.15,FishBase
18-Oct-19,Coffin,Lo,1,15,Pass Two,18,Copper Rockfish,,Sebastidae,Sebastes,caurinus,Sebastes caurinus,0.00001597,3.0405,California Fish and Game Fish Bulletin 177
18-Oct-19,Coffin,Lo,1,3,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,7,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,9,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,10,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,7,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,5,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,9,Longfin Sculpin,,Cottidae,Jordania,zonope,Jordania zonope,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,7,Longfin Sculpin,,Cottidae,Jordania,zonope,Jordania zonope,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,4,Northern Clingfish,,Gobiesocidae,Gobiesox,maeandricus,Gobiesox maeandricus,0.0055,3.11,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,6,Padded Sculpin,,Cottidae,Artedius,fenestralis,Artedius fenestralis,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,4,Padded Sculpin,,Cottidae,Artedius,fenestralis,Artedius fenestralis,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,10,Pipefish,,Syngnathidae,Syngnathus,leptorhynchus,Syngnathus leptorhynchus,0.00035,3.07,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,6,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,7,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,6,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,6,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,7,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,6,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,5,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,7,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,7,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,4,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,7,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,6,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Coffin,Lo,1,3,Pass Two,3,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass One,38,Kelp Greenling,F,Hexagrammidae,Hexagrammos,decagrammus,Hexagrammos decagrammus,0.0009213,2.675,California Fish and Game Fish Bulletin 177
18-Oct-19,Porlier,Hi,1,15,Pass One,50,Ling Cod,,Hexagrammidae,Ophiodon,elongatus,Ophiodon elongatus,0.002,3.3835,DFO Haggarty and King 2004 Technical Report 2533
18-Oct-19,Porlier,Hi,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,10,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,10,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,10,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,10,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
