"Site","TransectDepth","Replicate","Latin","SiteID","SpeciesID","Count","Biomass","Hi_Lo","Site_Richness","Site_Abundance","Site_Biomass"
"Anniversary","3","1","Anoplarchus sp.","Anniversary_3_1","Anniversary_3_1_Anoplarchus sp.",0,0,"Low",8,206,2214.53
"Burial","3","1","Anoplarchus sp.","Burial_3_1","Burial_3_1_Anoplarchus sp.",0,0,"High",5,11,6072.13
"Coffin","3","1","Anoplarchus sp.","Coffin_3_1","Coffin_3_1_Anoplarchus sp.",0,0,"Low",7,27,84.02
"Dragon","3","1","Anoplarchus sp.","Dragon_3_1","Dragon_3_1_Anoplarchus sp.",0,0,"Low",7,75,766.57
"Georgina","3","1","Anoplarchus sp.","Georgina_3_1","Georgina_3_1_Anoplarchus sp.",0,0,"Low",3,7,9516.84
"Grainger","3","1","Anoplarchus sp.","Grainger_3_1","Grainger_3_1_Anoplarchus sp.",0,0,"High",4,24,943.43
"Josef","3","1","Anoplarchus sp.","Josef_3_1","Josef_3_1_Anoplarchus sp.",0,0,"High",7,78,3728.68
"McKenzie","3","1","Anoplarchus sp.","McKenzie_3_1","McKenzie_3_1_Anoplarchus sp.",0,0,"Low",7,24,3056.39
"Porlier","3","1","Anoplarchus sp.","Porlier_3_1","Porlier_3_1_Anoplarchus sp.",0,0,"High",7,85,5459.05
"Snake","3","1","Anoplarchus sp.","Snake_3_1","Snake_3_1_Anoplarchus sp.",0,0,"Low",1,1,1.86
"Anniversary","15","1","Anoplarchus sp.","Anniversary_15_1","Anniversary_15_1_Anoplarchus sp.",0,0,"Low",7,27,1423.05
"Burial","15","1","Anoplarchus sp.","Burial_15_1","Burial_15_1_Anoplarchus sp.",0,0,"High",3,12,45.57
"Coffin","15","1","Anoplarchus sp.","Coffin_15_1","Coffin_15_1_Anoplarchus sp.",0,0,"Low",5,16,191.03
"Dragon","15","1","Anoplarchus sp.","Dragon_15_1","Dragon_15_1_Anoplarchus sp.",0,0,"Low",7,44,5167.22
"Georgina","15","1","Anoplarchus sp.","Georgina_15_1","Georgina_15_1_Anoplarchus sp.",0,0,"Low",7,46,4282.72
"Grainger","15","1","Anoplarchus sp.","Grainger_15_1","Grainger_15_1_Anoplarchus sp.",0,0,"High",8,42,10868.44
"Josef","15","1","Anoplarchus sp.","Josef_15_1","Josef_15_1_Anoplarchus sp.",0,0,"High",6,39,8799.9
"McKenzie","15","1","Anoplarchus sp.","McKenzie_15_1","McKenzie_15_1_Anoplarchus sp.",0,0,"Low",6,14,1411.65
"Porlier","15","1","Anoplarchus sp.","Porlier_15_1","Porlier_15_1_Anoplarchus sp.",0,0,"High",7,46,8713.67
"Snake","15","1","Anoplarchus sp.","Snake_15_1","Snake_15_1_Anoplarchus sp.",0,0,"Low",3,28,7571.81
"Anniversary","3","2","Anoplarchus sp.","Anniversary_3_2","Anniversary_3_2_Anoplarchus sp.",0,0,"Low",5,61,756.36
"Burial","3","2","Anoplarchus sp.","Burial_3_2","Burial_3_2_Anoplarchus sp.",0,0,"High",3,61,375.03
"Coffin","3","2","Anoplarchus sp.","Coffin_3_2","Coffin_3_2_Anoplarchus sp.",1,1.69,"Low",4,10,17.4
"Dragon","3","2","Anoplarchus sp.","Dragon_3_2","Dragon_3_2_Anoplarchus sp.",0,0,"Low",6,28,305.28
"Georgina","3","2","Anoplarchus sp.","Georgina_3_2","Georgina_3_2_Anoplarchus sp.",0,0,"Low",5,6,4691.88
"Grainger","3","2","Anoplarchus sp.","Grainger_3_2","Grainger_3_2_Anoplarchus sp.",0,0,"High",3,3,92.02
"Josef","3","2","Anoplarchus sp.","Josef_3_2","Josef_3_2_Anoplarchus sp.",1,1.04,"High",7,43,4102.42
"McKenzie","3","2","Anoplarchus sp.","McKenzie_3_2","McKenzie_3_2_Anoplarchus sp.",0,0,"Low",4,17,100.77
"Porlier","3","2","Anoplarchus sp.","Porlier_3_2","Porlier_3_2_Anoplarchus sp.",0,0,"High",3,11,7847.72
"Snake","3","2","Anoplarchus sp.","Snake_3_2","Snake_3_2_Anoplarchus sp.",0,0,"Low",5,21,6263.96
"Anniversary","15","2","Anoplarchus sp.","Anniversary_15_2","Anniversary_15_2_Anoplarchus sp.",0,0,"Low",3,18,151.28
"Burial","15","2","Anoplarchus sp.","Burial_15_2","Burial_15_2_Anoplarchus sp.",0,0,"High",4,30,39.61
"Coffin","15","2","Anoplarchus sp.","Coffin_15_2","Coffin_15_2_Anoplarchus sp.",0,0,"Low",4,15,393.28
"Dragon","15","2","Anoplarchus sp.","Dragon_15_2","Dragon_15_2_Anoplarchus sp.",0,0,"Low",7,266,2677.39
"Georgina","15","2","Anoplarchus sp.","Georgina_15_2","Georgina_15_2_Anoplarchus sp.",0,0,"Low",5,37,1010.88
"Grainger","15","2","Anoplarchus sp.","Grainger_15_2","Grainger_15_2_Anoplarchus sp.",0,0,"High",5,47,8353.74
"Josef","15","2","Anoplarchus sp.","Josef_15_2","Josef_15_2_Anoplarchus sp.",0,0,"High",7,45,19741.24
