"Site","CurrentMax","CurrentMean","Hi_Lo","TransectDepth","CurrDepth","Replicate","TransectID","Richness","Abundance","Biomass","Biomass_kg","SlopeAngle","PercRock"
"Porlier",117.336585365854,64.0384818766938,"High",3,"High 3m",1,"Porlier_3_1",3,15,4955.22936289168,4.96,16.7,90
"Porlier",117.336585365854,64.0384818766938,"High",3,"High 3m",2,"Porlier_3_2",3,11,7847.72112666176,7.85,16.7,90
"Porlier",117.336585365854,64.0384818766938,"High",3,"High 3m",3,"Porlier_3_3",6,19,17782.6932726758,17.78,16.7,100
"Porlier",117.336585365854,64.0384818766938,"High",15,"High 15m",1,"Porlier_15_1",7,46,8713.67805769759,8.71,16.7,100
"Porlier",117.336585365854,64.0384818766938,"High",15,"High 15m",2,"Porlier_15_2",7,59,1881.66106162497,1.88,16.7,100
"Porlier",117.336585365854,64.0384818766938,"High",15,"High 15m",3,"Porlier_15_3",7,65,5713.31493809066,5.71,16.7,100
"Grainger",114.34756097561,19.5821873306233,"High",3,"High 3m",1,"Grainger_3_1",1,3,0.781790053036781,0,38.4,100
"Grainger",114.34756097561,19.5821873306233,"High",3,"High 3m",2,"Grainger_3_2",2,2,81.6111549092982,0.08,38.4,100
"Grainger",114.34756097561,19.5821873306233,"High",3,"High 3m",3,"Grainger_3_3",6,17,3083.91958097546,3.08,38.4,100
"Grainger",114.34756097561,19.5821873306233,"High",15,"High 15m",1,"Grainger_15_1",6,37,10705.8740481029,10.71,38.4,100
"Grainger",114.34756097561,19.5821873306233,"High",15,"High 15m",2,"Grainger_15_2",4,43,8086.18126372796,8.09,38.4,100
"Grainger",114.34756097561,19.5821873306233,"High",15,"High 15m",3,"Grainger_15_3",4,70,1073.4576651917,1.07,38.4,100
"Burial",108.847317073171,29.8682926829268,"High",3,"High 3m",1,"Burial_3_1",3,9,5985.91480661919,5.99,8.9,100
"Burial",108.847317073171,29.8682926829268,"High",3,"High 3m",2,"Burial_3_2",1,1,146.185107046927,0.15,8.9,90
"Burial",108.847317073171,29.8682926829268,"High",3,"High 3m",3,"Burial_3_3",3,6,16.0876210119001,0.02,8.9,90
"Burial",108.847317073171,29.8682926829268,"High",3,"High 3m",4,"Burial_3_4",1,10,7.96068052021709,0.01,8.9,90
"Burial",108.847317073171,29.8682926829268,"High",15,"High 15m",1,"Burial_15_1",3,12,45.560862888902,0.05,8.9,70
"Burial",108.847317073171,29.8682926829268,"High",15,"High 15m",2,"Burial_15_2",4,30,39.6111369421466,0.04,8.9,100
"Burial",108.847317073171,29.8682926829268,"High",15,"High 15m",3,"Burial_15_3",1,24,11.8644814116896,0.01,8.9,100
"Burial",108.847317073171,29.8682926829268,"High",15,"High 15m",4,"Burial_15_4",4,20,196.443139022927,0.2,8.9,100
"Josef",87.7278048780488,14.8420929878049,"High",3,"High 3m",1,"Josef_3_1",4,14,1259.37081279159,1.26,30.7,100
"Josef",87.7278048780488,14.8420929878049,"High",3,"High 3m",2,"Josef_3_2",6,19,3447.5370483734,3.45,30.7,100
"Josef",87.7278048780488,14.8420929878049,"High",3,"High 3m",3,"Josef_3_3",4,14,1059.85286681286,1.06,30.7,100
"Josef",87.7278048780488,14.8420929878049,"High",15,"High 15m",1,"Josef_15_1",5,36,8753.44995271551,8.75,30.7,100
